caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2015-002,2015-002-01,2015-002-01-01,2015-002-01-01-01-04,3/22/16,5,,136 S. Ct. 1072,194 L. Ed. 2d 163,2016 U.S. LEXIS 2133,2015,1705,Roberts,14-520,HAWKINS v. COMMUNITY BANK OF RAYMORE,10/5/15,,,,113,,1,,,0,86,,28,,0,12,,,1,2,0,0,0,0,,,,0,,,9,900,NA,,,1,4,4,109,RBGinsburg,8,1,,,,
2015-002,2015-002-01,2015-002-01-01,2015-002-01-01-01-05,3/22/16,5,,136 S. Ct. 1072,194 L. Ed. 2d 163,2016 U.S. LEXIS 2133,2015,1705,Roberts,14-520,HAWKINS v. COMMUNITY BANK OF RAYMORE,10/5/15,,,,113,,1,,,0,86,,28,,0,12,,,1,2,0,0,0,0,,,,0,,,9,900,NA,,,1,4,4,110,SGBreyer,8,1,,,,
2015-002,2015-002-01,2015-002-01-01,2015-002-01-01-01-06,3/22/16,5,,136 S. Ct. 1072,194 L. Ed. 2d 163,2016 U.S. LEXIS 2133,2015,1705,Roberts,14-520,HAWKINS v. COMMUNITY BANK OF RAYMORE,10/5/15,,,,113,,1,,,0,86,,28,,0,12,,,1,2,0,0,0,0,,,,0,,,9,900,NA,,,1,4,4,112,SAAlito,8,1,,,,
2015-002,2015-002-01,2015-002-01-01,2015-002-01-01-01-07,3/22/16,5,,136 S. Ct. 1072,194 L. Ed. 2d 163,2016 U.S. LEXIS 2133,2015,1705,Roberts,14-520,HAWKINS v. COMMUNITY BANK OF RAYMORE,10/5/15,,,,113,,1,,,0,86,,28,,0,12,,,1,2,0,0,0,0,,,,0,,,9,900,NA,,,1,4,4,113,SSotomayor,8,1,,,,
2015-002,2015-002-01,2015-002-01-01,2015-002-01-01-01-08,3/22/16,5,,136 S. Ct. 1072,194 L. Ed. 2d 163,2016 U.S. LEXIS 2133,2015,1705,Roberts,14-520,HAWKINS v. COMMUNITY BANK OF RAYMORE,10/5/15,,,,113,,1,,,0,86,,28,,0,12,,,1,2,0,0,0,0,,,,0,,,9,900,NA,,,1,4,4,114,EKagan,8,1,,,,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-01,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,111,JGRoberts,2,1,2,1,113,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-02,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,106,AMKennedy,1,1,1,2,,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-03,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,108,CThomas,2,2,2,1,,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-04,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,109,RBGinsburg,1,1,1,2,,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-05,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,110,SGBreyer,3,2,1,2,,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-06,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,112,SAAlito,1,2,1,2,,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-07,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,113,SSotomayor,2,2,2,1,,
2015-003,2015-003-01,2015-003-01-01,2015-003-01-01-01-08,5/2/16,1,,136 S. Ct. 1423,194 L. Ed. 2d 520,2016 U.S. LEXIS 2932,2015,1705,Roberts,14-361,OCASIO v. UNITED STATES,10/6/15,,126,,27,,1,,,0,79,,24,,0,12,2,1,1,2,0,0,0,0,10470,1,1,0,4,,6,600,Hobbs Act,112,106,1,5,3,114,EKagan,1,1,1,2,,
